GEO,Populacija
Albania,3020209
Austria,8504850
Belgium,11198638
Bosnia and Herzegovina,3871643
Bulgaria,7364570
Croatia,4284889
Cyprus,1117000
Czech Republic,10513209
Denmark,5655750
Estonia,1315819
Finland,5470820
France,66730000
Germany,80716000
Greece,10816286
Hungary,9877365
Iceland,325671
Ireland,4609600
Italy,60782668
Latvia,1990300
Lithuania,2944459
Luxembourg,549680
Macedonia,2058539
Malta,446547
Montenegro,647905
Netherlands,16856620
Norway,5136700
Poland,38483957
Portugal,10427301
Romania,19942642
Serbia,7041599
Slovakia,5415949
Slovenia,2061085
Spain,46704314
Sweden,10004962
Turkey,79814871
United Kingdom,64100000
